E	P
-708	19
-604	5237
-584	8643
-568	11821
-516	23944
-492	27349
-512	24883
-488	28032
-540	18626
-588	7900
-532	20206
-472	27351
-536	19599
-596	6449
-564	12984
-504	25963
-500	26558
-528	21194
-524	22203
-508	25554
-548	16657
-544	17553
-468	26608
-520	23226
-496	27163
-436	18440
-484	27848
-572	11009
-580	9237
-452	23603
-448	22516
-412	10369
-440	19755
-464	26296
-392	5107
-456	24768
-428	15780
-444	21243
-400	6988
-408	9326
-424	14336
-416	11510
-420	13119
-432	17121
-460	25440
-476	27516
-404	7871
-396	5878
-552	15471
-480	27852
-388	4235
-560	13481
-556	14604
-576	10500
-600	5861
-616	3631
-608	4596
-620	3189
-664	423
-632	1956
-624	2669
-380	3011
-592	7219
-612	4129
-384	3564
-360	1067
-372	1928
-628	2295
-640	1458
-636	1731
-660	538
-644	1200
-648	1060
-672	293
-376	2445
-368	1615
-352	579
-340	258
-364	1288
-344	347
-680	153
-356	747
-320	60
-656	700
-652	847
-668	396
-700	46
-328	105
-692	79
-332	129
-348	437
-676	247
-684	144
-312	30
-336	211
-316	39
-288	2
-324	72
-696	53
-704	22
-712	15
-292	2
-724	4
-688	108
-308	19
-304	13
-728	4
-716	7
-300	4
-720	3
-748	1
-736	1
-276	1
-296	5
-280	1
-284	1
0	0
