M	P
-262	1966
-252	2040
-248	1903
-274	1961
-276	1890
-300	1517
-306	1449
-290	1780
-294	1597
-310	1302
-342	381
-322	980
-312	1320
-286	1762
-314	1201
-308	1344
-280	1860
-264	1913
-222	1781
-220	1796
-206	1667
-208	1770
-236	1985
-258	2056
-226	1866
-246	1934
-242	1911
-230	1798
-210	1798
-194	1694
-166	1502
-158	1470
-128	1339
-116	1351
-132	1335
-174	1551
-176	1489
-106	1259
-124	1320
-126	1310
-112	1250
-90	1172
-60	1154
-58	1151
-98	1250
-110	1291
-100	1264
-146	1429
-88	1203
-22	1117
-54	1135
-32	1158
-38	1083
-36	1104
-78	1271
-96	1273
-56	1135
-46	1175
-30	1127
-20	1055
-6	1138
-12	1113
-8	1098
12	1025
18	1107
38	1185
16	1104
22	1174
46	1118
42	1174
74	1226
58	1209
54	1158
56	1141
84	1218
96	1239
120	1329
90	1256
66	1223
82	1237
86	1315
34	1124
26	1088
36	1158
-14	1079
-18	1122
-34	1169
24	1088
28	1136
124	1353
108	1271
128	1391
102	1347
150	1557
162	1580
152	1532
146	1497
134	1373
174	1672
200	1745
182	1664
186	1788
204	1880
142	1393
148	1531
198	1753
216	1880
220	1931
192	1783
214	1941
210	1875
202	1794
236	2051
228	1952
226	1903
194	1744
188	1771
166	1641
184	1680
208	1822
196	1745
172	1596
206	1821
230	1964
246	1996
242	1989
250	2102
260	2096
252	2098
290	1723
276	1939
288	1862
244	1970
232	1959
238	2013
268	1990
278	1941
310	1322
330	753
308	1415
282	1957
294	1700
274	1968
284	1863
296	1695
224	1924
218	1949
130	1499
116	1335
140	1451
138	1501
144	1462
132	1344
112	1282
126	1399
158	1583
136	1436
164	1567
178	1615
156	1538
176	1562
122	1362
88	1233
62	1202
68	1183
40	1178
52	1140
114	1358
92	1244
106	1377
110	1338
80	1321
154	1512
70	1210
50	1165
0	1062
-4	1123
4	1085
20	1100
64	1166
76	1240
78	1224
98	1301
100	1298
104	1294
6	1081
-26	1073
-50	1122
-40	1144
-2	1037
-120	1278
-138	1313
-150	1431
-140	1418
-122	1332
-162	1531
-172	1517
-170	1481
-180	1588
-196	1648
-188	1561
-212	1771
-198	1751
-244	1971
-272	1975
-278	1837
-256	2000
-266	1988
-234	2038
-232	1964
-204	1749
-240	1968
-216	1836
-218	1841
-200	1699
-238	1976
-250	2120
-270	1866
-302	1553
-334	634
-330	777
-268	2034
-296	1787
-288	1767
-284	1834
-318	1124
-298	1612
-282	1853
-304	1461
-324	977
-326	827
-202	1656
-186	1564
-142	1352
-108	1320
-104	1287
-136	1321
-164	1502
-192	1631
-182	1630
-184	1580
-320	1018
-328	882
-316	1202
-336	539
-228	1894
-254	1902
-292	1661
-190	1681
-134	1338
-114	1279
-118	1315
-160	1431
-168	1542
-224	1881
-260	1999
-70	1172
-64	1181
-52	1204
-80	1196
-148	1436
-144	1373
-156	1406
-178	1575
-152	1476
-214	1811
-154	1421
-72	1243
-94	1233
-82	1190
-84	1209
-74	1204
-66	1153
-76	1220
-62	1222
-92	1229
-68	1169
-16	1087
2	1128
10	1119
-10	1110
-86	1206
8	1095
30	1113
48	1167
-28	1157
-44	1168
-130	1375
-102	1302
-48	1090
-24	1131
14	1027
72	1182
212	1970
270	2023
316	1187
254	1990
328	783
286	1760
266	1942
258	2004
272	2022
302	1575
326	854
312	1267
320	1018
306	1424
314	1246
298	1625
304	1473
292	1763
332	707
324	918
342	385
338	438
180	1704
168	1644
190	1722
160	1598
170	1503
60	1187
-42	1099
32	1109
118	1424
-338	533
-346	296
222	1942
234	1942
240	1983
264	1977
248	2023
280	1975
318	1138
262	1994
256	2087
44	1094
94	1266
344	321
346	295
-340	406
-368	17
-360	59
-348	238
-332	690
-358	103
-344	319
-362	37
-352	179
300	1598
334	575
336	552
322	971
350	249
340	467
-350	195
348	233
354	138
352	165
-354	146
370	15
356	103
366	34
364	50
358	95
-356	95
362	58
-364	28
368	27
360	89
-366	16
-372	14
-370	12
376	3
372	12
-374	5
374	6
380	1
-376	4
-382	1
-384	1
384	1
0	0
