E	P
-472	13901
-508	12658
-492	13581
-516	11869
-540	9103
-532	10126
-568	5853
-620	1592
-584	4274
-600	2834
-644	585
-548	8256
-560	6857
-576	5036
-556	7161
-564	6414
-552	7819
-512	12396
-504	13066
-544	8697
-484	14028
-520	11411
-460	12688
-436	9320
-432	8777
-456	12389
-400	3534
-396	3037
-412	5300
-388	2157
-464	12917
-452	11839
-404	4123
-416	5904
-440	10021
-420	6521
-500	13336
-476	13961
-384	1825
-424	7356
-480	14032
-496	13532
-468	13485
-488	13725
-448	11131
-428	7878
-372	1042
-380	1475
-444	10648
-536	9718
-528	10496
-580	4672
-524	11021
-616	1837
-592	3460
-572	5385
-392	2690
-408	4735
-364	625
-360	484
-376	1244
-320	28
-596	3171
-588	3882
-612	2039
-608	2333
-604	2546
-664	252
-368	783
-632	1039
-636	848
-628	1193
-624	1333
-352	294
-340	118
-640	742
-648	508
-356	417
-348	230
-688	55
-684	67
-656	340
-660	316
-652	422
-676	115
-680	107
-668	200
-344	152
-332	76
-328	58
-696	25
-672	165
-700	33
-692	31
-336	110
-300	8
-708	11
-324	27
-704	17
-312	11
-712	11
-292	4
-316	11
-308	9
-304	7
-724	2
-716	6
-288	2
-732	1
-268	1
-728	2
-284	1
-296	1
-744	1
-720	1
-736	1
0	0
