Energy:	Probability:
-720	2
-676	33
-668	43
-624	277
-612	413
-580	996
-592	706
-620	326
-604	554
-568	1175
-576	1033
-572	1130
-532	2117
-560	1356
-556	1386
-644	137
-664	64
-608	443
-596	635
-584	852
-548	1692
-488	2590
-536	1905
-540	1867
-520	2307
-472	2632
-508	2518
-452	2349
-492	2714
-512	2499
-600	566
-564	1292
-468	2669
-544	1768
-616	397
-588	758
-516	2413
-528	2126
-460	2530
-484	2659
-500	2585
-480	2753
-552	1536
-496	2643
-456	2523
-448	2188
-476	2727
-524	2227
-432	1703
-464	2617
-428	1585
-440	2010
-384	378
-388	464
-424	1477
-416	1210
-396	613
-368	170
-408	934
-444	2152
-380	303
-412	1092
-420	1338
-404	833
-436	1872
-400	701
-504	2590
-392	536
-372	221
-632	194
-360	120
-648	117
-356	71
-364	115
-376	271
-636	192
-652	96
-628	236
-680	33
-352	72
-344	43
-640	154
-656	75
-332	22
-684	13
-340	27
-348	43
-672	26
-660	56
-700	7
-336	28
-328	19
-688	8
-692	8
-316	5
-324	10
-300	1
-320	5
-304	3
-704	3
-312	7
-696	4
-716	1
-296	1
-292	1
-708	1
-308	1
0	0
