Temperatures 	 E_avg 		 M_abs 		 X 		 Cv
2.1		-1.66188	0.868281		1.16969	0.975071	
2.2		-1.54662	0.785714		4.30588	1.38705	
2.23		-1.50044	0.734947		9.783	1.67018	
2.25		-1.46665	0.69291		13.9553	1.81205	
2.26		-1.44838	0.668467		16.0456	1.85581	
2.265		-1.43824	0.650109		19.114	1.92284	
2.27		-1.4262	0.627446		22.0403	1.99317	
2.275		-1.41836	0.617591		22.7638	1.9769	
2.278		-1.4125	0.60885		22.7	1.98704	
2.279		-1.40883	0.598984		24.9148	2.02558	
2.28		-1.40843	0.600229		24.7075	2.01475	
2.281		-1.40575	0.596002		24.3773	2.0159	
2.282		-1.40134	0.582968		26.8004	2.05359	
2.283		-1.40098	0.588094		24.6299	1.99201	
2.284		-1.40007	0.588179		24.8662	2.03156	
2.285		-1.39839	0.583298		25.4408	2.01506	
2.286		-1.39691	0.580824		25.7102	2.0145	
2.287		-1.39263	0.570802		26.9036	2.0365	
2.288		-1.39042	0.566819		27.24	2.02959	
2.289		-1.38975	0.566291		27.0616	2.01786	
2.29		-1.39013	0.574098		25.226	1.99672	
2.3		-1.36922	0.534501		28.473	2.0197	
2.32		-1.33006	0.461762		30.0652	1.8725	
2.35		-1.27735	0.364763		27.8234	1.60926	
2.38		-1.23257	0.291396		22.4088	1.3472	
2.4		-1.20723	0.254224		18.6639	1.20553	
2.45		-1.15254	0.195397		12.3753	0.99941	
2.5		-1.10617	0.160476		8.65774	0.870248	
2.55		-1.06515	0.135951		6.2572	0.777682	
2.6		-1.02837	0.120325		4.89279	0.703407	
