Temperatures 	 E_avg 		 M_abs 		 X 		 Cv
2.1		-1.66193	0.868496		0.984028	0.967356	
2.2		-1.54671	0.785646		4.36092	1.39696	
2.23		-1.50056	0.735356		9.66551	1.66081	
2.25		-1.46566	0.690802		14.124	1.80366	
2.26		-1.44768	0.664615		17.3762	1.89597	
2.265		-1.43654	0.644277		20.3401	1.95921	
2.27		-1.4278	0.632243		21.2595	1.97312	
2.275		-1.41691	0.613621		23.1284	2.01126	
2.278		-1.41342	0.61119		22.7541	1.98803	
2.279		-1.41157	0.608103		22.9178	1.98442	
2.28		-1.40882	0.602248		23.7834	1.98666	
2.281		-1.40657	0.59834		24.0044	1.99466	
2.282		-1.40309	0.589892		25.0943	2.01698	
2.283		-1.40235	0.590622		25.1731	2.0293	
2.284		-1.40085	0.587866		25.4459	2.00937	
2.285		-1.39744	0.580131		26.2822	2.02722	
2.286		-1.39684	0.58097		25.9818	2.02843	
2.287		-1.39465	0.579403		25.0908	1.9912	
2.288		-1.39231	0.574081		25.613	1.99725	
2.289		-1.39055	0.571765		25.7042	1.99402	
2.29		-1.38748	0.564897		26.7295	2.02299	
2.3		-1.36788	0.528748		29.041	2.00877	
2.32		-1.32966	0.458134		31.0776	1.89506	
2.35		-1.27637	0.36051		27.8555	1.58925	
2.38		-1.2327	0.28983		22.341	1.34175	
2.4		-1.20694	0.253356		18.5012	1.20077	
2.45		-1.15221	0.193095		12.1697	0.991911	
2.5		-1.10637	0.1606		8.66603	0.87116	
2.55		-1.06511	0.136911		6.36911	0.778922	
2.6		-1.0284	0.1205		4.89145	0.705365	
